,Date,Time,local,visit,g_loc,g_vis,m_loc,m_vis,PossH,PossA,TSH,TSA,On_TargetH,On_TargetA,Off_TargetH,Off_TargetA,BlockedH,BlockedA,PassingpcH,PassingpcA,ClearCutChancesH,ClearCutChancesA,CornersH,CornersA,OffsidesH,OffsidesA,TacklespcH,TacklespcA,AerialDuelspcH,AerialDuelspcA,SavesH,SavesA,FoulsCommittedH,FoulsCommittedA,FoulsWonH,FoulsWonA,YellowCardsH,YellowCardsA,RedCardsH,RedCardsA,Stadium,Attendance,Referee,Assistants,Fourth_official,VAR,Assistant_VAR
0,22/05/2022,16:00,Brentford,Leeds,1,2,[78],"[56, 90]",48.7,51.3,14.0,14.0,5.0,6.0,7.0,6.0,2.0,2.0,77.4,74.4,1.0,1.0,3.0,2.0,0.0,2.0,66.7,60.0,63.6,36.4,4.0,4.0,11.0,13.0,13.0,9.0,2.0,1.0,1.0,0.0,Gtech Community Stadium,16957,Paul Tierney,"Neil Davies, Lee Betts",Robert Jones,John Brooks,Sian Massey
1,22/05/2022,16:00,Brighton,West Ham,3,1,"[78, 80]",[56],49.9,50.1,18.0,7.0,7.0,2.0,4.0,2.0,7.0,3.0,82.4,81.5,1.0,0.0,5.0,6.0,0.0,0.0,66.7,64.3,60.6,39.4,1.0,4.0,9.0,9.0,9.0,8.0,1.0,1.0,0.0,0.0,Amex Stadium,31604,Kevin Friend,"Steven Meredith, Matt Wilkes",Andy Davies,Simon Hooper,Simon Beck
2,22/05/2022,16:00,Burnley,Newcastle,1,2,[78],"[56, 90]",51.4,48.6,12.0,8.0,5.0,6.0,4.0,2.0,3.0,0.0,69.5,71.3,1.0,2.0,8.0,2.0,5.0,0.0,63.6,54.5,50.0,50.0,4.0,3.0,8.0,9.0,9.0,7.0,1.0,0.0,0.0,0.0,Turf Moor,21361,Craig Pawson,"Edward Smart, Dan Robathan",Jeremy Simpson,Jarred Gillet,James Mainwaring
3,22/05/2022,16:00,Chelsea,Watford,2,1,"[78, 80]",[56],71.7,28.3,19.0,8.0,8.0,3.0,6.0,2.0,5.0,3.0,90.6,74.4,4.0,2.0,3.0,3.0,0.0,2.0,50.0,52.0,62.5,37.5,2.0,6.0,9.0,9.0,8.0,8.0,0.0,0.0,0.0,0.0,Stamford Bridge,32089,Mike Dean,"Ian Hussin, Darren Cann",John Busby,Michael Salisbury,Derek Eaton
4,22/05/2022,16:00,C Palace,Man Utd,1,0,[78],[],38.4,61.6,6.0,10.0,3.0,4.0,3.0,2.0,0.0,4.0,72.8,83.1,0.0,1.0,3.0,6.0,2.0,4.0,37.5,58.8,44.4,55.6,4.0,2.0,12.0,22.0,22.0,12.0,2.0,4.0,0.0,0.0,Selhurst Park,25434,Martin Atkinson,"Constantine Hatzidakis, Richard West",Josh Smith,Peter Bankes,Natalie Aspinall
5,22/05/2022,16:00,Leicester,"""Soton""",4,1,"[78, 80]",[56],50.9,49.1,12.0,7.0,6.0,2.0,4.0,5.0,2.0,0.0,78.8,77.2,5.0,0.0,3.0,3.0,1.0,3.0,25.0,76.5,44.4,55.6,1.0,2.0,10.0,5.0,5.0,9.0,0.0,1.0,0.0,0.0,The King Power Stadium,32003,Jonathan Moss,"Shaun Hudson, Marc Perry",Leigh Doughty,Graham Scott,Timothy Wood
6,22/05/2022,16:00,Liverpool,Wolves,3,1,"[78, 80]",[56],62.9,37.1,29.0,7.0,8.0,5.0,7.0,2.0,14.0,0.0,88.6,80.8,4.0,3.0,5.0,3.0,3.0,1.0,61.9,33.3,63.6,36.4,4.0,4.0,6.0,3.0,2.0,5.0,1.0,0.0,0.0,0.0,Anfield,53097,Anthony Taylor,"Gary Beswick, Adam Nunn",Tony Harrington,Stuart Attwell,Daniel Cook
7,22/05/2022,16:00,Man City,A Villa,3,2,"[78, 80]","[56, 90]",71.5,28.5,24.0,4.0,5.0,2.0,10.0,1.0,9.0,1.0,88.0,67.1,3.0,1.0,13.0,1.0,1.0,2.0,45.5,52.9,57.1,42.9,0.0,2.0,5.0,11.0,11.0,5.0,0.0,2.0,0.0,0.0,Etihad Stadium,53395,Michael Oliver,"Stuart Burt, Simon Bennett",David Coote,Darren England,Adrian Holmes
8,22/05/2022,16:00,Norwich,Tottenham,0,5,[],"[56, 90]",40.4,59.6,9.0,19.0,0.0,13.0,5.0,4.0,4.0,2.0,79.9,89.7,0.0,6.0,3.0,2.0,0.0,4.0,85.7,62.5,37.5,62.5,7.0,0.0,13.0,7.0,6.0,13.0,3.0,1.0,0.0,0.0,Carrow Road,27022,Chris Kavanagh,"Nicholas Hopton, Harry Lennard",Dean Whitestone,Andy Madley,Wade Smith
9,19/05/2022,19:45,Everton,C Palace,3,2,"[78, 80]","[56, 90]",43.2,56.8,12.0,7.0,6.0,5.0,4.0,2.0,2.0,0.0,70.3,77.3,1.0,1.0,4.0,5.0,0.0,3.0,52.0,65.0,58.9,41.1,3.0,3.0,9.0,12.0,11.0,9.0,2.0,3.0,0.0,0.0,Goodison Park,38448,Anthony Taylor,"Adam Nunn, Gary Beswick",Kevin Friend,Mike Dean,Edward Smart
