,Date,Time,local,visit,g_loc,g_vis,m_loc,m_vis,PossH,PossA,TSH,TSA,On_TargetH,On_TargetA,Off_TargetH,Off_TargetA,BlockedH,BlockedA,PassingpcH,PassingpcA,ClearCutChancesH,ClearCutChancesA,CornersH,CornersA,OffsidesH,OffsidesA,TacklespcH,TacklespcA,AerialDuelspcH,AerialDuelspcA,SavesH,SavesA,FoulsCommittedH,FoulsCommittedA,FoulsWonH,FoulsWonA,YellowCardsH,YellowCardsA,RedCardsH,RedCardsA,Stadium,Attendance,Referee,Assistants,Fourth_official
0,13/05/2018,15:00,C Palace,W Brom,2,0,"[70, 78]",[],59.2,40.8,11.0,7.0,5.0,1.0,4.0,6.0,2.0,0.0,86.6,79.2,4.0,0.0,4.0,2.0,1.0,1.0,71.4,58.8,52.0,48.0,1.0,4.0,10.0,11.0,11.0,8.0,2.0,3.0,0.0,0.0,Selhurst Park,25357,Jonathan Moss,"Simon Bennett, Scott Ledger",Lee Probert
1,13/05/2018,15:00,"""Huddsfld""",Arsenal,0,1,[],[38],45.0,55.0,19.0,9.0,3.0,4.0,11.0,3.0,5.0,2.0,77.2,79.8,1.0,3.0,7.0,4.0,0.0,2.0,66.7,81.8,63.9,36.1,3.0,3.0,11.0,7.0,7.0,10.0,1.0,0.0,0.0,0.0,"""The John Smiths Stadium""",24122,Michael Oliver,"Lee Betts, Ian Hussin",Chris Kavanagh
2,13/05/2018,15:00,Liverpool,Brighton,4,0,"[26, 40, 53, 85]",[],72.3,27.7,22.0,2.0,11.0,1.0,5.0,0.0,6.0,1.0,89.3,70.5,4.0,0.0,7.0,3.0,1.0,1.0,70.0,64.7,63.0,37.0,1.0,6.0,3.0,6.0,4.0,3.0,0.0,0.0,0.0,0.0,Anfield,50752,Kevin Friend,"Mark Scholes, Sian Massey",Michael Jones
3,13/05/2018,15:00,Man Utd,Watford,1,0,[34],[],51.4,48.6,7.0,7.0,1.0,3.0,4.0,3.0,2.0,1.0,80.4,82.8,1.0,1.0,6.0,5.0,5.0,1.0,72.0,65.0,45.8,54.2,3.0,0.0,6.0,11.0,11.0,6.0,4.0,0.0,0.0,0.0,Old Trafford,75049,Lee Mason,"Matt Wilkes, Mick McDonough",Neil Swarbrick
4,13/05/2018,15:00,Newcastle,Chelsea,3,0,"[23, 59, 63]",[],41.9,58.1,16.0,6.0,6.0,2.0,5.0,3.0,5.0,1.0,77.8,85.4,2.0,0.0,4.0,2.0,0.0,2.0,52.6,33.3,30.6,69.4,2.0,4.0,11.0,10.0,9.0,11.0,0.0,1.0,0.0,0.0,"""St James Park",52294,Martin Atkinson,"Stephen Child, Edward Smart",Robert Madley
5,13/05/2018,15:00,"""Soton""",Man City,0,1,[],[90],30.3,69.7,8.0,13.0,3.0,2.0,5.0,5.0,0.0,6.0,66.8,86.8,0.0,1.0,1.0,12.0,4.0,2.0,54.2,69.2,48.6,51.4,1.0,2.0,8.0,10.0,7.0,8.0,3.0,2.0,0.0,0.0,"""St. Marys Stadium""",31882,Andre Marriner,"Simon Long, Richard West",Mike Dean
6,13/05/2018,15:00,Swansea ,Stoke,1,2,[14],"[31, 41]",57.6,42.4,27.0,8.0,11.0,5.0,5.0,2.0,11.0,1.0,86.8,81.2,2.0,2.0,6.0,0.0,1.0,5.0,75.0,57.1,33.3,66.7,3.0,9.0,12.0,9.0,9.0,9.0,1.0,2.0,0.0,0.0,Swansea.com Stadium,20673,Anthony Taylor,"Gary Beswick, Adam Nunn",Stuart Attwell
7,13/05/2018,15:00,Tottenham,Leicester,5,4,"[7, 76, 49, 60, 53]","[4, 73, 16, 47]",64.0,36.0,14.0,17.0,6.0,9.0,5.0,7.0,3.0,1.0,81.9,72.8,2.0,2.0,4.0,4.0,2.0,4.0,70.0,56.5,40.0,60.0,5.0,2.0,9.0,13.0,13.0,9.0,1.0,2.0,0.0,0.0,Wembley Stadium,77841,Craig Pawson,"Stuart Burt, Simon Beck",David Coote
8,13/05/2018,15:00,West Ham,Everton,3,1,"[39, 82, 63]",[74],56.6,43.4,15.0,14.0,4.0,7.0,5.0,3.0,6.0,4.0,82.7,77.5,1.0,1.0,6.0,6.0,4.0,1.0,63.6,50.0,61.1,38.9,6.0,1.0,10.0,13.0,13.0,10.0,0.0,1.0,0.0,0.0,London Stadium,56926,Graham Scott,"Constantine Hatzidakis, Dan Robathan",Simon Hooper
9,10/05/2018,19:45,West Ham,Man Utd,0,0,[],[],44.2,55.8,9.0,16.0,2.0,6.0,6.0,7.0,1.0,3.0,83.0,86.4,1.0,0.0,1.0,6.0,1.0,2.0,66.7,68.8,33.3,66.7,6.0,2.0,12.0,12.0,11.0,12.0,1.0,1.0,0.0,0.0,London Stadium,56902,Jonathan Moss,"Edward Smart, Harry Lennard",Kevin Friend
