"['4:00pm, Sunday 22nd May 2022.']",['Arsenal'],['Everton'],"[<Element span at 0x42df9c0>, <Element span at 0x42dfa20>]",['5'],['1'],"['\n                G Martinelli\xa0(', ""27'"", '27th minute', '                pen)', '\n                E Nketiah\xa0(', ""31'"", '31st minute', ')', '\n                C Soares\xa0(', ""56'"", '56th minute', ')', '\n                G dos Santos Magalhães\xa0(', ""59'"", '59th minute', ')', '\n                M Ødegaard\xa0(', ""82'"", '82nd minute', ')']","['\n                D van de Beek\xa0(', ""45+3'"", '48th minute', ')']",73.7,26.3,26,6,9,2,8,3,9,1,90,65,2,2,12,2,2,0,50,38.1,34.8,65.2,1,4,8,9,7,8,0,1,0,0,"['Arsenal\n                          vs Everton. Premier League.\n                        ', '\n                          ', '4:00pm, Sunday 22nd May 2022.', '\n                        ', '\n                          ', 'Emirates Stadium', 'Attendance: ', 'Attendance', '60,201.', '\n                       ']","['Referee:', 'Andre Marriner', 'Assistants:', 'Scott Ledger, Simon Long', 'Fourth official:', 'James Linington', 'VAR:', 'Lee Mason', 'Assistant VAR:', 'Mark Scholes']"
"['4:00pm, Sunday 22nd May 2022.']",['Brentford'],['Leeds'],"[<Element span at 0x42df930>, <Element span at 0x42fe2a0>]",['1'],['2'],"['\n                S Canos\xa0(', ""78'"", '78th minute', ', ', 'red card', 'sent off', '\n                ', ""80'"", '80th minute', ')']","['\n                R Dias Belloli\xa0(', ""56'"", '56th minute', '                pen)', '\n                J Harrison\xa0(', ""90+4'"", '94th minute', ')']",48.7,51.3,14,14,5,6,7,6,2,2,77.4,74.4,1,1,3,2,0,2,66.7,60,63.6,36.4,4,4,11,13,13,9,2,1,1,0,"['Brentford\n                          vs Leeds United. Premier League.\n                        ', '\n                          ', '4:00pm, Sunday 22nd May 2022.', '\n                        ', '\n                          ', 'Gtech Community Stadium', 'Attendance: ', 'Attendance', '16,957.', '\n                       ']","['Referee:', 'Paul Tierney', 'Assistants:', 'Neil Davies, Lee Betts', 'Fourth official:', 'Robert Jones', 'VAR:', 'John Brooks', 'Assistant VAR:', 'Sian Massey']"
"['4:00pm, Sunday 22nd May 2022.']",['Brighton'],['West Ham'],"[<Element span at 0x4302270>, <Element span at 0x43021b0>]",['3'],['1'],"['\n                J Veltman\xa0(', ""50'"", '50th minute', ')', '\n                P Groß\xa0(', ""80'"", '80th minute', ')', '\n                D Welbeck\xa0(', ""90+2'"", '92nd minute', ')']","['\n                M Antonio\xa0(', ""40'"", '40th minute', ')']",49.9,50.1,18,7,7,2,4,2,7,3,82.4,81.5,1,0,5,6,0,0,66.7,64.3,60.6,39.4,1,4,9,9,9,8,1,1,0,0,"['Brighton and Hove Albion\n                          vs West Ham United. Premier League.\n                        ', '\n                          ', '4:00pm, Sunday 22nd May 2022.', '\n                        ', '\n                          ', 'Amex Stadium', 'Attendance: ', 'Attendance', '31,604.', '\n                       ']","['Referee:', 'Kevin Friend', 'Assistants:', 'Steven Meredith, Matt Wilkes', 'Fourth official:', 'Andy Davies', 'VAR:', 'Simon Hooper', 'Assistant VAR:', 'Simon Beck']"
"['4:00pm, Sunday 22nd May 2022.']",['Burnley'],['Newcastle'],"[<Element span at 0x4302e10>, <Element span at 0x4302f30>]",['1'],['2'],"['\n                M Cornet\xa0(', ""69'"", '69th minute', ')']","['\n                C Wilson\xa0(', ""20'"", '20th minute', '                pen, ', ""60'"", '60th minute', ')']",51.4,48.6,12,8,5,6,4,2,3,0,69.5,71.3,1,2,8,2,5,0,63.6,54.5,50,50,4,3,8,9,9,7,1,0,0,0,"['Burnley\n                          vs Newcastle United. Premier League.\n                        ', '\n                          ', '4:00pm, Sunday 22nd May 2022.', '\n                        ', '\n                          ', 'Turf Moor', 'Attendance: ', 'Attendance', '21,361.', '\n                       ']","['Referee:', 'Craig Pawson', 'Assistants:', 'Edward Smart, Dan Robathan', 'Fourth official:', 'Jeremy Simpson', 'VAR:', 'Jarred Gillet', 'Assistant VAR:', 'James Mainwaring']"
"['4:00pm, Sunday 22nd May 2022.']",['Chelsea'],['Watford'],"[<Element span at 0x4305ed0>, <Element span at 0x4305e10>]",['2'],['1'],"['\n                K Havertz\xa0(', ""11'"", '11th minute', ')', '\n                R Barkley\xa0(', ""90+1'"", '91st minute', ')']","['\n                D Gosling\xa0(', ""87'"", '87th minute', ')']",71.7,28.3,19,8,8,3,6,2,5,3,90.6,74.4,4,2,3,3,0,2,50,52,62.5,37.5,2,6,9,9,8,8,0,0,0,0,"['Chelsea\n                          vs Watford. Premier League.\n                        ', '\n                          ', '4:00pm, Sunday 22nd May 2022.', '\n                        ', '\n                          ', 'Stamford Bridge', 'Attendance: ', 'Attendance', '32,089.', '\n                       ']","['Referee:', 'Mike Dean', 'Assistants:', 'Ian Hussin, Darren Cann', 'Fourth official:', 'John Busby', 'VAR:', 'Michael Salisbury', 'Assistant VAR:', 'Derek Eaton']"
"['4:00pm, Sunday 22nd May 2022.']",['C Palace'],['Man Utd'],"[<Element span at 0x4309cf0>, <Element span at 0x4309e10>]",['1'],['0'],"['\n                W Zaha\xa0(', ""37'"", '37th minute', ')']",[],38.4,61.6,6,10,3,4,3,2,0,4,72.8,83.1,0,1,3,6,2,4,37.5,58.8,44.4,55.6,4,2,12,22,22,12,2,4,0,0,"['Crystal Palace\n                          vs Manchester United. Premier League.\n                        ', '\n                          ', '4:00pm, Sunday 22nd May 2022.', '\n                        ', '\n                          ', 'Selhurst Park', 'Attendance: ', 'Attendance', '25,434.', '\n                       ']","['Referee:', 'Martin Atkinson', 'Assistants:', 'Constantine Hatzidakis, Richard West', 'Fourth official:', 'Josh Smith', 'VAR:', 'Peter Bankes', 'Assistant VAR:', 'Natalie Aspinall']"
"['4:00pm, Sunday 22nd May 2022.']",['Leicester'],"[""So'ton""]","[<Element span at 0x430ea80>, <Element span at 0x430e9c0>]",['4'],['1'],"['\n                J Maddison\xa0(', ""49'"", '49th minute', ')', '\n                J Vardy\xa0(', ""74'"", '74th minute', ')', '\n                Ayoze Pérez\xa0(', ""81'"", '81st minute', ', ', ""90+6'"", '96th minute', ')']","['\n                J Ward-Prowse\xa0(', ""79'"", '79th minute', '                pen)']",50.9,49.1,12,7,6,2,4,5,2,0,78.8,77.2,5,0,3,3,1,3,25,76.5,44.4,55.6,1,2,10,5,5,9,0,1,0,0,"['Leicester City\n                          vs Southampton. Premier League.\n                        ', '\n                          ', '4:00pm, Sunday 22nd May 2022.', '\n                        ', '\n                          ', 'The King Power Stadium', 'Attendance: ', 'Attendance', '32,003.', '\n                       ']","['Referee:', 'Jonathan Moss', 'Assistants:', 'Shaun Hudson, Marc Perry', 'Fourth official:', 'Leigh Doughty', 'VAR:', 'Graham Scott', 'Assistant VAR:', 'Timothy Wood']"
"['4:00pm, Sunday 22nd May 2022.']",['Liverpool'],['Wolves'],"[<Element span at 0x43109c0>, <Element span at 0x43109f0>]",['3'],['1'],"['\n                S Mané\xa0(', ""24'"", '24th minute', ')', '\n                M Salah\xa0(', ""84'"", '84th minute', ')', '\n                A Robertson\xa0(', ""89'"", '89th minute', ')']","['\n                P Neto\xa0(', ""3'"", '3rd minute', ')']",62.9,37.1,29,7,8,5,7,2,14,0,88.6,80.8,4,3,5,3,3,1,61.9,33.3,63.6,36.4,4,4,6,3,2,5,1,0,0,0,"['Liverpool\n                          vs Wolverhampton Wanderers. Premier League.\n                        ', '\n                          ', '4:00pm, Sunday 22nd May 2022.', '\n                        ', '\n                          ', 'Anfield', 'Attendance: ', 'Attendance', '53,097.', '\n                       ']","['Referee:', 'Anthony Taylor', 'Assistants:', 'Gary Beswick, Adam Nunn', 'Fourth official:', 'Tony Harrington', 'VAR:', 'Stuart Attwell', 'Assistant VAR:', 'Daniel Cook']"
"['4:00pm, Sunday 22nd May 2022.']",['Man City'],['A Villa'],"[<Element span at 0x4316870>, <Element span at 0x43168a0>]",['3'],['2'],"['\n                I Gündogan\xa0(', ""76'"", '76th minute', ', ', ""81'"", '81st minute', ')', '\n                Rodri\xa0(', ""78'"", '78th minute', ')']","['\n                M Cash\xa0(', ""37'"", '37th minute', ')', '\n                P Coutinho\xa0(', ""69'"", '69th minute', ')']",71.5,28.5,24,4,5,2,10,1,9,1,88,67.1,3,1,13,1,1,2,45.5,52.9,57.1,42.9,0,2,5,11,11,5,0,2,0,0,"['Manchester City\n                          vs Aston Villa. Premier League.\n                        ', '\n                          ', '4:00pm, Sunday 22nd May 2022.', '\n                        ', '\n                          ', 'Etihad Stadium', 'Attendance: ', 'Attendance', '53,395.', '\n                       ']","['Referee:', 'Michael Oliver', 'Assistants:', 'Stuart Burt, Simon Bennett', 'Fourth official:', 'David Coote', 'VAR:', 'Darren England', 'Assistant VAR:', 'Adrian Holmes']"
"['4:00pm, Sunday 22nd May 2022.']",['Norwich'],['Tottenham'],"[<Element span at 0x43197b0>, <Element span at 0x43197e0>]",['0'],['5'],[],"['\n                D Kulusevski\xa0(', ""16'"", '16th minute', ', ', ""64'"", '64th minute', ')', '\n                H Kane\xa0(', ""32'"", '32nd minute', ')', '\n                H Son\xa0(', ""70'"", '70th minute', ', ', ""75'"", '75th minute', ')']",40.4,59.6,9,19,0,13,5,4,4,2,79.9,89.7,0,6,3,2,0,4,85.7,62.5,37.5,62.5,7,0,13,7,6,13,3,1,0,0,"['Norwich City\n                          vs Tottenham Hotspur. Premier League.\n                        ', '\n                          ', '4:00pm, Sunday 22nd May 2022.', '\n                        ', '\n                          ', 'Carrow Road', 'Attendance: ', 'Attendance', '27,022.', '\n                       ']","['Referee:', 'Chris Kavanagh', 'Assistants:', 'Nicholas Hopton, Harry Lennard', 'Fourth official:', 'Dean Whitestone', 'VAR:', 'Andy Madley', 'Assistant VAR:', 'Wade Smith']"
