,Date,Time,local,visit,g_loc,g_vis,m_loc,m_vis,PossH,PossA,TSH,TSA,On_TargetH,On_TargetA,Off_TargetH,Off_TargetA,BlockedH,BlockedA,PassingpcH,PassingpcA,ClearCutChancesH,ClearCutChancesA,CornersH,CornersA,OffsidesH,OffsidesA,TacklespcH,TacklespcA,AerialDuelspcH,AerialDuelspcA,SavesH,SavesA,FoulsCommittedH,FoulsCommittedA,FoulsWonH,FoulsWonA,YellowCardsH,YellowCardsA,RedCardsH,RedCardsA,Stadium,Attendance,Referee,Assistants,Fourth_official,VAR,Assistant_VAR
0,23/05/2021,16:00,A Villa,Chelsea,2,1,"[43, 52]",[70],28.8,71.2,6.0,23.0,3.0,7.0,3.0,11.0,0.0,5.0,69.6,89.0,0.0,6.0,2.0,9.0,0.0,2.0,78.6,44.4,62.5,37.5,6.0,1.0,11.0,12.0,12.0,11.0,3.0,4.0,0.0,1.0,Villa Park,10000,Stuart Attwell,"Simon Long, Neil Davies",Tim Robinson,Jarred Gillet,Stephen Child
1,23/05/2021,16:00,Fulham,Newcastle,0,2,[],"[23, 88]",64.3,35.7,14.0,10.0,0.0,4.0,7.0,3.0,7.0,3.0,90.1,81.1,1.0,1.0,5.0,4.0,1.0,0.0,38.9,38.5,41.2,58.8,2.0,0.0,12.0,6.0,6.0,12.0,1.0,0.0,0.0,0.0,Craven Cottage,2000,Chris Kavanagh,"Sian Massey, Daniel Cook",James Linington,Robert Jones,Adrian Holmes
2,23/05/2021,16:00,Leeds,W Brom,3,1,"[17, 42, 79]",[90],64.4,35.6,17.0,14.0,9.0,5.0,3.0,6.0,5.0,3.0,82.6,70.9,1.0,0.0,8.0,3.0,3.0,3.0,66.7,57.9,63.0,37.0,4.0,6.0,12.0,12.0,11.0,12.0,2.0,1.0,0.0,0.0,Elland Road,8000,David Coote,"Nicholas Hopton, Shaun Hudson",Darren Bond,Graham Scott,Dan Robathan
3,23/05/2021,16:00,Leicester,Tottenham,2,4,"[18, 52]","[41, 76, 87, 90]",47.0,53.0,10.0,11.0,6.0,4.0,2.0,2.0,2.0,5.0,76.6,80.7,0.0,0.0,8.0,7.0,3.0,1.0,60.7,72.2,40.7,59.3,1.0,4.0,9.0,8.0,7.0,8.0,0.0,2.0,0.0,0.0,The King Power Stadium,8000,Anthony Taylor,"Mark Scholes, Adam Nunn",Keith Stroud,Peter Bankes,Lee Betts
4,23/05/2021,16:00,Liverpool,C Palace,2,0,"[36, 74]",[],69.6,30.4,19.0,5.0,5.0,4.0,10.0,1.0,4.0,0.0,85.4,61.2,3.0,1.0,14.0,1.0,2.0,1.0,80.0,66.7,48.1,51.9,4.0,3.0,10.0,8.0,7.0,10.0,2.0,2.0,0.0,0.0,Anfield,9901,Craig Pawson,"Scott Ledger, Richard West",Tony Harrington,Paul Tierney,Edward Smart
5,23/05/2021,16:00,Man City,Everton,5,0,"[11, 14, 53, 71, 76]",[],67.7,32.3,21.0,8.0,11.0,3.0,6.0,2.0,4.0,3.0,91.7,79.4,5.0,0.0,7.0,5.0,1.0,1.0,50.0,75.0,42.1,57.9,3.0,6.0,8.0,10.0,10.0,8.0,2.0,2.0,0.0,0.0,Etihad Stadium,10000,Michael Oliver,"Simon Bennett, Stuart Burt",Michael Salisbury,Darren England,Andy Halliday
6,23/05/2021,16:00,Sheff Utd,Burnley,1,0,[24],[],43.0,57.0,12.0,10.0,3.0,3.0,7.0,3.0,2.0,4.0,68.4,71.8,0.0,0.0,8.0,9.0,2.0,1.0,68.4,75.0,47.0,53.0,3.0,2.0,11.0,1.0,1.0,11.0,3.0,1.0,0.0,0.0,Bramall Lane,5096,Kevin Friend,"Andrew Fox, Simon Beck",Geoff Eltringham,Lee Mason,Matt Wilkes
7,23/05/2021,16:00,West Ham,"""Soton""",3,0,"[30, 33, 86]",[],36.9,63.1,14.0,17.0,7.0,5.0,6.0,8.0,1.0,4.0,69.0,80.7,2.0,2.0,2.0,3.0,5.0,2.0,50.0,56.5,62.1,37.9,5.0,4.0,5.0,9.0,9.0,5.0,0.0,3.0,0.0,0.0,London Stadium,10000,Martin Atkinson,"Constantine Hatzidakis, James Mainwaring",Matt Donohue,Andre Marriner,Peter Kirkup
8,23/05/2021,16:00,Wolves,Man Utd,1,2,[39],"[13, 45]",57.2,42.8,14.0,9.0,4.0,4.0,6.0,5.0,4.0,0.0,88.6,86.6,0.0,3.0,6.0,2.0,1.0,1.0,57.9,50.0,42.9,57.1,2.0,3.0,14.0,3.0,3.0,14.0,4.0,1.0,0.0,0.0,Molineux,4500,Mike Dean,"Harry Lennard, Ian Hussin",John Brooks,Andy Madley,Darren Cann
9,19/05/2021,18:00,Everton,Wolves,1,0,[48],[],41.0,59.0,14.0,9.0,4.0,3.0,4.0,2.0,6.0,4.0,79.3,84.5,0.0,0.0,7.0,12.0,0.0,0.0,57.1,66.7,70.6,29.4,3.0,3.0,11.0,11.0,11.0,11.0,0.0,2.0,0.0,0.0,Goodison Park,6068,Andy Madley,"Derek Eaton, Simon Long",David Coote,Graham Scott,Dan Robathan
