,Date,Time,local,visit,g_loc,g_vis,m_loc,m_vis,PossH,PossA,TSH,TSA,On_TargetH,On_TargetA,Off_TargetH,Off_TargetA,BlockedH,BlockedA,PassingpcH,PassingpcA,ClearCutChancesH,ClearCutChancesA,CornersH,CornersA,OffsidesH,OffsidesA,TacklespcH,TacklespcA,AerialDuelspcH,AerialDuelspcA,SavesH,SavesA,FoulsCommittedH,FoulsCommittedA,FoulsWonH,FoulsWonA,YellowCardsH,YellowCardsA,RedCardsH,RedCardsA,Stadium,Attendance,Referee,Assistants,Fourth_official
0,21/05/2017,15:00,Burnley,West Ham,1,2,[23],"[27, 72]",44.7,55.3,9.0,14.0,1.0,4.0,7.0,5.0,1.0,5.0,70.2,76.5,3.0,1.0,2.0,5.0,0.0,3.0,58.3,69.2,53.2,46.8,2.0,0.0,11.0,14.0,13.0,11.0,2.0,2.0,0.0,0.0,Turf Moor,21634,Robert Madley,"Peter Kirkup, Matt Wilkes",Jeremy Simpson
1,21/05/2017,15:00,Chelsea,"""Sland""",5,1,"[8, 61, 77, 90, 90]",[3],70.5,29.5,28.0,7.0,8.0,3.0,12.0,2.0,8.0,2.0,91.3,78.4,3.0,0.0,11.0,1.0,0.0,1.0,56.3,70.6,66.7,33.3,2.0,3.0,8.0,15.0,15.0,8.0,1.0,1.0,0.0,0.0,Stamford Bridge,41618,Neil Swarbrick,"Jake Collin, Darren Cann",Roger East
2,21/05/2017,15:00,Hull City,Tottenham,1,7,[66],"[11, 13, 72, 45, 69, 84, 87]",35.2,64.8,10.0,19.0,4.0,14.0,4.0,3.0,2.0,2.0,73.4,86.7,2.0,6.0,2.0,3.0,2.0,0.0,66.7,85.7,42.1,57.9,7.0,3.0,14.0,5.0,5.0,12.0,0.0,0.0,0.0,0.0,MKM Stadium,23804,Andre Marriner,"Simon Beck, Scott Ledger",Andy Madley
3,21/05/2017,15:00,Leicester,"""Bmouth""",1,1,[51],[1],48.6,51.4,20.0,10.0,4.0,4.0,9.0,2.0,7.0,4.0,78.6,78.5,2.0,0.0,9.0,1.0,5.0,1.0,57.7,80.0,50.0,50.0,3.0,4.0,11.0,10.0,10.0,11.0,4.0,1.0,0.0,0.0,The King Power Stadium,32000,Lee Mason,"Richard West, Derek Eaton",Oliver Langford
4,21/05/2017,15:00,Liverpool,"""Mboro""",3,0,"[45, 51, 56]",[],73.8,26.2,25.0,9.0,10.0,3.0,9.0,3.0,6.0,3.0,89.1,66.9,2.0,2.0,3.0,3.0,1.0,0.0,71.4,60.0,32.3,67.7,3.0,7.0,13.0,8.0,8.0,13.0,0.0,1.0,0.0,0.0,Anfield,53191,Martin Atkinson,"Stuart Burt, Adam Nunn",Stuart Attwell
5,21/05/2017,15:00,Man Utd,C Palace,2,0,"[15, 19]",[],58.8,41.2,9.0,6.0,2.0,1.0,3.0,2.0,4.0,3.0,88.2,81.7,0.0,0.0,3.0,6.0,0.0,1.0,72.0,85.7,27.8,72.2,1.0,0.0,16.0,10.0,10.0,16.0,2.0,0.0,0.0,0.0,Old Trafford,75254,Anthony Taylor,"Gary Beswick, Marc Perry",Michael Jones
6,21/05/2017,15:00,"""Soton""",Stoke,0,1,[],[60],61.0,39.0,15.0,14.0,6.0,3.0,4.0,6.0,5.0,5.0,84.2,74.9,1.0,1.0,4.0,10.0,3.0,2.0,72.7,100.0,37.8,62.2,1.0,6.0,12.0,10.0,10.0,12.0,2.0,4.0,0.0,0.0,"""St. Marys Stadium""",31286,Lee Probert,"Mick McDonough, Sian Massey",James Linington
7,21/05/2017,15:00,Swansea ,W Brom,2,1,"[72, 86]",[33],65.3,34.7,12.0,16.0,2.0,5.0,6.0,6.0,4.0,5.0,86.6,79.4,3.0,2.0,7.0,4.0,1.0,0.0,76.5,72.2,60.0,40.0,4.0,0.0,8.0,10.0,10.0,8.0,1.0,1.0,0.0,0.0,Swansea.com Stadium,20889,Mike Dean,"Simon Long, Andy Garratt",Graham Scott
8,21/05/2017,15:00,Watford,Man City,0,5,[],"[5, 23, 36, 41, 58]",32.9,67.1,6.0,15.0,3.0,9.0,2.0,5.0,1.0,1.0,75.4,89.7,0.0,5.0,4.0,5.0,0.0,2.0,65.0,73.7,38.5,61.5,3.0,2.0,12.0,10.0,10.0,12.0,1.0,0.0,0.0,0.0,Vicarage Road,20829,Jonathan Moss,"Constantine Hatzidakis, Andy Halliday",Kevin Friend
9,18/05/2017,19:45,Leicester,Tottenham,1,6,[59],"[25, 63, 88, 90, 36, 71]",37.3,62.7,12.0,26.0,5.0,12.0,3.0,11.0,4.0,3.0,72.0,84.8,0.0,2.0,4.0,4.0,4.0,2.0,70.8,94.1,48.0,52.0,6.0,4.0,11.0,8.0,8.0,10.0,3.0,1.0,0.0,0.0,The King Power Stadium,31351,Michael Oliver,"Jake Collin, Constantine Hatzidakis",Neil Swarbrick
