,Date,Time,local,visit,g_loc,g_vis,m_loc,m_vis,PossH,PossA,TSH,TSA,On_TargetH,On_TargetA,Off_TargetH,Off_TargetA,BlockedH,BlockedA,PassingpcH,PassingpcA,ClearCutChancesH,ClearCutChancesA,CornersH,CornersA,OffsidesH,OffsidesA,TacklespcH,TacklespcA,AerialDuelspcH,AerialDuelspcA,SavesH,SavesA,FoulsCommittedH,FoulsCommittedA,FoulsWonH,FoulsWonA,YellowCardsH,YellowCardsA,RedCardsH,RedCardsA,Stadium,Attendance,Referee,Assistants,Fourth_official
0,15/05/2016,15:00,Arsenal,A Villa,4,0,"[5, 78, 80, 90]",[],59.6,40.4,16.0,5.0,7.0,2.0,7.0,0.0,2.0,3.0,88.5,81.6,6.0,0.0,5.0,4.0,0.0,0.0,92.9,92.3,40.0,60.0,2.0,4.0,12.0,6.0,5.0,12.0,0.0,1.0,0.0,0.0,Emirates Stadium,60007,Mark Clattenburg,"John Brooks, Andy Halliday",Roger East
1,15/05/2016,15:00,Chelsea,Leicester,1,1,[66],[82],54.0,46.0,17.0,18.0,4.0,5.0,4.0,6.0,9.0,7.0,83.4,78.8,0.0,2.0,7.0,6.0,8.0,0.0,76.9,79.2,47.4,52.6,4.0,3.0,5.0,12.0,11.0,5.0,0.0,0.0,0.0,0.0,Stamford Bridge,41494,Craig Pawson,"Mick McDonough, Dave Bryan",Tony Harrington
2,15/05/2016,15:00,Everton,Norwich,3,0,"[19, 44, 48]",[],45.5,54.5,15.0,11.0,8.0,2.0,4.0,7.0,3.0,2.0,78.8,78.9,1.0,0.0,4.0,11.0,1.0,1.0,100.0,76.9,59.3,40.7,3.0,5.0,7.0,11.0,11.0,6.0,0.0,0.0,0.0,0.0,Goodison Park,36691,Lee Mason,"Andy Garratt, Derek Eaton",Stuart Attwell
3,15/05/2016,15:00,Newcastle,Tottenham,5,1,"[19, 73, 39, 67, 85]",[60],38.5,61.5,19.0,18.0,10.0,5.0,3.0,7.0,6.0,6.0,80.9,89.5,3.0,0.0,3.0,8.0,1.0,1.0,90.0,81.0,54.5,45.5,4.0,5.0,7.0,6.0,6.0,7.0,1.0,2.0,1.0,0.0,"""St James Park",52183,Anthony Taylor,"Mike Mullarkey, Stephen Child",Neil Swarbrick
4,15/05/2016,15:00,"""Soton""",C Palace,4,1,"[43, 61, 75, 87]",[64],49.8,50.2,19.0,16.0,5.0,4.0,12.0,4.0,2.0,8.0,83.1,78.4,1.0,1.0,2.0,5.0,2.0,1.0,73.3,81.8,52.2,47.8,3.0,1.0,7.0,14.0,13.0,7.0,1.0,2.0,0.0,0.0,"""St. Marys Stadium""",31313,Michael Oliver,"Gary Beswick, Lee Betts",Keith Stroud
5,15/05/2016,15:00,Stoke,West Ham,2,1,"[55, 88]",[23],46.7,53.3,7.0,20.0,4.0,8.0,2.0,6.0,1.0,6.0,78.6,82.0,1.0,2.0,4.0,10.0,6.0,2.0,78.6,60.0,52.6,47.4,5.0,2.0,8.0,12.0,11.0,8.0,3.0,1.0,0.0,0.0,Bet365 Stadium,27721,Michael Jones,"Marc Perry, Mark Scholes",Geoff Eltringham
6,15/05/2016,15:00,Swansea ,Man City,1,1,[45],[5],50.0,50.0,4.0,18.0,1.0,5.0,2.0,10.0,1.0,3.0,78.3,80.6,0.0,1.0,4.0,4.0,2.0,2.0,69.2,76.5,69.2,30.8,4.0,0.0,4.0,19.0,19.0,4.0,1.0,3.0,0.0,0.0,Swansea.com Stadium,20934,Mike Dean,"Jake Collin, Simon Long",Andre Marriner
7,15/05/2016,15:00,Watford,"""Sland""",2,2,"[48, 61]","[39, 51]",54.2,45.8,20.0,6.0,6.0,4.0,10.0,1.0,4.0,1.0,77.1,70.2,1.0,1.0,7.0,4.0,1.0,4.0,84.6,55.0,53.8,46.2,2.0,4.0,11.0,9.0,7.0,11.0,1.0,0.0,0.0,0.0,Vicarage Road,21012,Kevin Friend,"Michael Salisbury, Andrew Fox",Darren Deadman
8,15/05/2016,15:00,W Brom,Liverpool,1,1,[13],[23],32.6,67.4,13.0,7.0,1.0,3.0,7.0,3.0,5.0,1.0,67.4,84.3,1.0,0.0,7.0,5.0,1.0,0.0,59.1,56.5,42.4,57.6,2.0,0.0,11.0,14.0,13.0,11.0,3.0,1.0,0.0,0.0,The Hawthorns,26196,Robert Madley,"Simon Bennett, Peter Kirkup",Andy Davies
9,11/05/2016,19:45,Norwich,Watford,4,2,"[15, 18, 57, 37]","[11, 51]",55.6,44.4,18.0,12.0,6.0,7.0,6.0,2.0,6.0,3.0,79.6,73.3,3.0,2.0,5.0,1.0,5.0,3.0,75.0,75.9,41.4,58.6,5.0,3.0,8.0,13.0,12.0,8.0,2.0,3.0,0.0,0.0,Carrow Road,26279,Roger East,"Andy Halliday, Harry Lennard",Kevin Friend
10,11/05/2016,19:45,"""Sland""",Everton,3,0,"[38, 42, 55]",[],37.7,62.3,14.0,17.0,8.0,6.0,3.0,5.0,3.0,6.0,73.9,82.7,2.0,1.0,5.0,5.0,2.0,1.0,83.3,63.2,51.7,48.3,6.0,4.0,15.0,7.0,6.0,15.0,1.0,0.0,0.0,0.0,Stadium of Light,46454,Anthony Taylor,"Lee Betts, Peter Kirkup",Lee Mason
11,11/05/2016,20:00,Liverpool,Chelsea,1,1,[90],[32],55.3,44.7,28.0,13.0,9.0,7.0,10.0,3.0,9.0,3.0,86.1,81.4,1.0,0.0,7.0,3.0,1.0,2.0,84.0,78.3,29.4,70.6,6.0,7.0,11.0,12.0,10.0,11.0,3.0,1.0,0.0,0.0,Anfield,43210,Michael Oliver,"Stuart Burt, Gary Beswick",Paul Tierney
12,10/05/2016,19:45,West Ham,Man Utd,3,2,"[10, 76, 80]","[51, 72]",41.3,58.7,20.0,3.0,6.0,2.0,12.0,1.0,2.0,0.0,70.4,76.5,3.0,1.0,6.0,2.0,1.0,2.0,72.2,80.0,60.0,40.0,0.0,2.0,6.0,18.0,17.0,5.0,1.0,3.0,0.0,0.0,Upton Park,34602,Mike Dean,"Simon Long, Simon Bennett",Roger East
13,8/05/2016,13:30,Tottenham,"""Soton""",1,2,[16],"[31, 72]",69.8,30.2,20.0,10.0,6.0,2.0,9.0,5.0,5.0,3.0,85.3,68.1,2.0,2.0,10.0,2.0,1.0,4.0,78.6,65.4,29.6,70.4,0.0,5.0,8.0,15.0,15.0,7.0,0.0,3.0,0.0,0.0,White Hart Lane,35748,Jonathan Moss,"Adrian Holmes, Harry Lennard",Michael Oliver
14,8/05/2016,16:00,Liverpool,Watford,2,0,"[35, 76]",[],66.1,33.9,19.0,14.0,5.0,3.0,8.0,8.0,6.0,3.0,85.1,71.2,3.0,0.0,8.0,8.0,2.0,1.0,81.8,88.2,57.6,42.4,3.0,3.0,10.0,15.0,14.0,10.0,1.0,2.0,0.0,0.0,Anfield,43341,Lee Mason,"Darren Cann, Edward Smart",Robert Madley
15,8/05/2016,16:00,Man City,Arsenal,2,2,"[8, 51]","[10, 68]",57.2,42.8,14.0,5.0,3.0,2.0,9.0,2.0,2.0,1.0,76.8,71.3,0.0,3.0,7.0,2.0,3.0,3.0,77.3,61.5,53.8,46.2,0.0,1.0,16.0,10.0,9.0,16.0,2.0,1.0,0.0,0.0,Etihad Stadium,54425,Anthony Taylor,"Lee Betts, Stuart Burt",Michael Jones
16,7/05/2016,24:45,Norwich,Man Utd,0,1,[],[72],33.1,66.9,8.0,15.0,2.0,2.0,3.0,6.0,3.0,7.0,62.5,81.3,3.0,2.0,1.0,6.0,0.0,1.0,71.4,84.2,46.9,53.1,1.0,2.0,11.0,10.0,8.0,11.0,1.0,0.0,0.0,0.0,Carrow Road,27132,Craig Pawson,"Mike Mullarkey, Dave Bryan",Keith Hill
17,7/05/2016,15:00,A Villa,Newcastle,0,0,[],[],45.9,54.1,2.0,9.0,0.0,3.0,2.0,5.0,0.0,1.0,78.2,83.1,0.0,1.0,0.0,5.0,1.0,1.0,76.2,82.4,48.4,51.6,3.0,0.0,8.0,13.0,13.0,8.0,1.0,1.0,0.0,0.0,Villa Park,33055,Robert Madley,"Peter Kirkup, Marc Perry",Lee Mason
18,7/05/2016,15:00,"""Bmouth""",W Brom,1,1,[82],[16],68.6,31.4,12.0,12.0,4.0,4.0,6.0,6.0,2.0,2.0,84.5,70.8,0.0,0.0,5.0,3.0,1.0,3.0,87.5,85.7,27.8,72.2,4.0,3.0,5.0,8.0,8.0,4.0,2.0,1.0,0.0,0.0,Vitality Stadium,11040,Mark Clattenburg,"John Brooks, Andy Halliday",Mark Haywood
19,7/05/2016,15:00,C Palace,Stoke,2,1,"[47, 68]",[26],57.8,42.2,17.0,12.0,4.0,3.0,6.0,7.0,7.0,2.0,75.6,69.3,2.0,1.0,4.0,3.0,1.0,3.0,87.5,81.3,37.5,62.5,2.0,2.0,8.0,18.0,18.0,8.0,2.0,3.0,0.0,0.0,Selhurst Park,23990,Kevin Friend,"Simon Beck, Adam Nunn",Darren Handley
20,7/05/2016,15:00,"""Sland""",Chelsea,3,2,"[41, 67, 70]","[14, 45]",31.4,68.6,14.0,9.0,4.0,8.0,3.0,0.0,7.0,1.0,69.3,85.9,0.0,3.0,3.0,3.0,6.0,1.0,86.7,80.0,43.8,56.3,6.0,1.0,11.0,9.0,9.0,11.0,4.0,1.0,0.0,1.0,Stadium of Light,47050,Michael Jones,"Richard West, Mark Scholes",Graham Scott
21,7/05/2016,15:00,West Ham,Swansea ,1,4,[68],"[25, 31, 51, 90]",51.9,48.1,25.0,13.0,7.0,6.0,8.0,3.0,10.0,4.0,82.2,80.4,3.0,3.0,13.0,3.0,3.0,2.0,90.0,75.0,78.9,21.1,2.0,7.0,11.0,8.0,7.0,10.0,3.0,0.0,0.0,0.0,Upton Park,34907,Michael Oliver,"Gary Beswick, Matt Wilkes",Jonathan Moss
22,7/05/2016,17:30,Leicester,Everton,3,1,"[5, 65, 33]",[88],41.3,58.7,31.0,9.0,8.0,5.0,13.0,3.0,10.0,1.0,77.9,81.7,3.0,4.0,12.0,4.0,2.0,1.0,64.7,58.3,67.6,32.4,4.0,5.0,4.0,12.0,12.0,4.0,0.0,3.0,0.0,0.0,The King Power Stadium,32140,Andre Marriner,"Stephen Child, Scott Ledger",Graham Salisbury
23,2/05/2016,20:00,Chelsea,Tottenham,2,2,"[58, 83]","[35, 44]",47.3,52.7,13.0,16.0,5.0,5.0,5.0,5.0,3.0,6.0,77.3,80.1,1.0,2.0,7.0,8.0,3.0,0.0,66.7,82.6,48.5,51.5,3.0,3.0,9.0,20.0,20.0,8.0,3.0,9.0,0.0,0.0,Stamford Bridge,41545,Mark Clattenburg,"Simon Beck, Jake Collin",Andre Marriner
24,1/05/2016,24:00,Swansea ,Liverpool,3,1,"[20, 67, 33]",[65],47.6,52.4,18.0,11.0,9.0,3.0,4.0,3.0,5.0,5.0,84.6,85.2,3.0,1.0,4.0,7.0,1.0,0.0,85.0,85.0,46.7,53.3,2.0,6.0,12.0,13.0,12.0,12.0,2.0,2.0,0.0,1.0,Swansea.com Stadium,20972,Roger East,"Constantine Hatzidakis, Adam Nunn",Kevin Friend
25,1/05/2016,14:05,Man Utd,Leicester,1,1,[8],[17],70.5,29.5,21.0,14.0,6.0,3.0,7.0,7.0,8.0,4.0,84.3,62.1,1.0,2.0,6.0,5.0,1.0,0.0,71.4,80.0,72.1,27.9,2.0,5.0,16.0,10.0,10.0,15.0,3.0,0.0,0.0,1.0,Old Trafford,75275,Michael Oliver,"Gary Beswick, Lee Betts",Craig Pawson
26,1/05/2016,16:30,"""Soton""",Man City,4,2,"[25, 28, 57, 68]","[44, 78]",40.2,59.8,14.0,6.0,7.0,5.0,5.0,1.0,2.0,0.0,77.1,84.4,4.0,1.0,9.0,2.0,3.0,0.0,60.5,79.2,51.6,48.4,3.0,3.0,12.0,9.0,8.0,12.0,2.0,1.0,0.0,0.0,"""St. Marys Stadium""",31472,Andre Marriner,"John Brooks, Peter Kirkup",Anthony Taylor
27,30/04/2016,15:00,Everton,"""Bmouth""",2,1,"[7, 64]",[9],56.5,43.5,12.0,16.0,5.0,2.0,4.0,7.0,3.0,7.0,82.1,81.1,1.0,2.0,3.0,5.0,1.0,1.0,68.4,64.7,48.4,51.6,1.0,3.0,4.0,8.0,8.0,3.0,1.0,0.0,0.0,0.0,Goodison Park,38345,Neil Swarbrick,"Mick McDonough, Daniel Cook",Jonathan Moss
28,30/04/2016,15:00,Newcastle,C Palace,1,0,[58],[],49.5,50.5,10.0,9.0,4.0,3.0,3.0,5.0,3.0,1.0,70.1,72.4,0.0,0.0,4.0,8.0,0.0,1.0,88.9,88.9,53.5,46.5,3.0,3.0,11.0,12.0,12.0,10.0,2.0,0.0,0.0,0.0,"""St James Park",52107,Mike Dean,"Simon Long, Stuart Burt",Robert Madley
29,30/04/2016,15:00,Stoke,"""Sland""",1,1,[50],[90],53.6,46.4,11.0,14.0,3.0,5.0,6.0,5.0,2.0,4.0,71.5,63.7,0.0,0.0,2.0,8.0,1.0,1.0,86.7,86.7,66.7,33.3,4.0,2.0,13.0,13.0,13.0,13.0,2.0,2.0,0.0,0.0,Bet365 Stadium,27667,Craig Pawson,"Mike Mullarkey, Harry Lennard",Roger East
30,30/04/2016,15:00,Watford,A Villa,3,2,"[45, 90, 90]","[28, 48]",64.7,35.3,18.0,7.0,6.0,2.0,7.0,4.0,5.0,1.0,85.0,73.8,1.0,0.0,8.0,4.0,1.0,3.0,78.6,64.7,45.2,54.8,0.0,2.0,14.0,10.0,9.0,14.0,2.0,3.0,0.0,1.0,Vicarage Road,20653,Anthony Taylor,"Scott Ledger, Stephen Child",David Coote
