"['8:00pm, Tuesday 17th May 2016.']",['Man Utd'],"[""B'mouth""]","[<Element span at 0x3627d20>, <Element span at 0x3627cf0>]",['3'],['1'],"['\n                W Rooney\xa0(', ""43'"", '43rd minute', ')', '\n                M Rashford\xa0(', ""74'"", '74th minute', ')', '\n                A Young\xa0(', ""87'"", '87th minute', ')']","['\n                C Smalling\xa0(', ""90+3'"", '93rd minute', '                ', 'og', 'own goal', ')']",66.3,33.7,12,7,5,0,3,3,4,4,90.4,78.4,3,0,7,1,4,2,58.8,68.8,41.2,58.8,0,2,9,8,7,9,1,0,0,0,"['Manchester United\n                          vs Bournemouth. Premier League.\n                        ', '\n                          ', '8:00pm, Tuesday 17th May 2016.', '\n                        ', '\n                          ', 'Old Trafford', 'Attendance: ', 'Attendance', '74,363.', '\n                       ']","['Referee:', 'Jonathan Moss', 'Assistants:', 'Adrian Holmes, Harry Lennard', 'Fourth official:', 'Graham Scott']"
"['3:00pm, Sunday 15th May 2016.']",['Arsenal'],['A Villa'],"[<Element span at 0x3627990>, <Element span at 0x364e480>]",['4'],['0'],"['\n                O Giroud\xa0(', ""5'"", '5th minute', ', ', ""78'"", '78th minute', ', ', ""80'"", '80th minute', ')', '\n                M Bunn\xa0(', ""90+2'"", '92nd minute', '                ', 'og', 'own goal', ')']",[],59.6,40.4,16,5,7,2,7,0,2,3,88.5,81.6,6,0,5,4,0,0,92.9,92.3,40,60,2,4,12,6,5,12,0,1,0,0,"['Arsenal\n                          vs Aston Villa. Premier League.\n                        ', '\n                          ', '3:00pm, Sunday 15th May 2016.', '\n                        ', '\n                          ', 'Emirates Stadium', 'Attendance: ', 'Attendance', '60,007.', '\n                       ']","['Referee:', 'Mark Clattenburg', 'Assistants:', 'John Brooks, Andy Halliday', 'Fourth official:', 'Roger East']"
"['3:00pm, Sunday 15th May 2016.']",['Chelsea'],['Leicester'],"[<Element span at 0x3652330>, <Element span at 0x3652360>]",['1'],['1'],"['\n                C Fàbregas\xa0(', ""66'"", '66th minute', '                pen)']","['\n                D Drinkwater\xa0(', ""82'"", '82nd minute', ')']",54,46,17,18,4,5,4,6,9,7,83.4,78.8,0,2,7,6,8,0,76.9,79.2,47.4,52.6,4,3,5,12,11,5,0,0,0,0,"['Chelsea\n                          vs Leicester City. Premier League.\n                        ', '\n                          ', '3:00pm, Sunday 15th May 2016.', '\n                        ', '\n                          ', 'Stamford Bridge', 'Attendance: ', 'Attendance', '41,494.', '\n                       ']","['Referee:', 'Craig Pawson', 'Assistants:', 'Mick McDonough, Dave Bryan', 'Fourth official:', 'Tony Harrington']"
"['3:00pm, Sunday 15th May 2016.']",['Everton'],['Norwich'],"[<Element span at 0x3652f60>, <Element span at 0x3652f90>]",['3'],['0'],"['\n                J McCarthy\xa0(', ""19'"", '19th minute', ')', '\n                L Baines\xa0(', ""44'"", '44th minute', '                pen)', '\n                K Mirallas\xa0(', ""48'"", '48th minute', ')']",[],45.5,54.5,15,11,8,2,4,7,3,2,78.8,78.9,1,0,4,11,1,1,100,76.9,59.3,40.7,3,5,7,11,11,6,0,0,0,0,"['Everton\n                          vs Norwich City. Premier League.\n                        ', '\n                          ', '3:00pm, Sunday 15th May 2016.', '\n                        ', '\n                          ', 'Goodison Park', 'Attendance: ', 'Attendance', '36,691.', '\n                       ']","['Referee:', 'Lee Mason', 'Assistants:', 'Andy Garratt, Derek Eaton', 'Fourth official:', 'Stuart Attwell']"
"['3:00pm, Sunday 15th May 2016.']",['Newcastle'],['Tottenham'],"[<Element span at 0x3656cc0>, <Element span at 0x3656de0>]",['5'],['1'],"['\n                G Wijnaldum\xa0(', ""19'"", '19th minute', ', ', ""73'"", '73rd minute', '                pen)', '\n                A Mitrovic\xa0(', ""39'"", '39th minute', ', ', 'red card', 'sent off', '\n                ', ""67'"", '67th minute', ')', '\n                R Aarons\xa0(', ""85'"", '85th minute', ')', '\n                D Janmaat\xa0(', ""86'"", '86th minute', ')']","['\n                E Lamela\xa0(', ""60'"", '60th minute', ')']",38.5,61.5,19,18,10,5,3,7,6,6,80.9,89.5,3,0,3,8,1,1,90,81,54.5,45.5,4,5,7,6,6,7,1,2,1,0,"['Newcastle United\n                          vs Tottenham Hotspur. Premier League.\n                        ', '\n                          ', '3:00pm, Sunday 15th May 2016.', '\n                        ', '\n                          ', ""St James' Park, Newcastle"", 'Attendance: ', 'Attendance', '52,183.', '\n                       ']","['Referee:', 'Anthony Taylor', 'Assistants:', 'Mike Mullarkey, Stephen Child', 'Fourth official:', 'Neil Swarbrick']"
"['3:00pm, Sunday 15th May 2016.']","[""So'ton""]",['C Palace'],"[<Element span at 0x365cdb0>, <Element span at 0x365ced0>]",['4'],['1'],"['\n                S Mané\xa0(', ""43'"", '43rd minute', ')', '\n                G Pellè\xa0(', ""61'"", '61st minute', ')', '\n                R Bertrand\xa0(', ""75'"", '75th minute', '                pen)', '\n                S Davis\xa0(', ""87'"", '87th minute', ')']","['\n                J Puncheon\xa0(', ""64'"", '64th minute', ')']",49.8,50.2,19,16,5,4,12,4,2,8,83.1,78.4,1,1,2,5,2,1,73.3,81.8,52.2,47.8,3,1,7,14,13,7,1,2,0,0,"['Southampton\n                          vs Crystal Palace. Premier League.\n                        ', '\n                          ', '3:00pm, Sunday 15th May 2016.', '\n                        ', '\n                          ', ""St. Mary's Stadium"", 'Attendance: ', 'Attendance', '31,313.', '\n                       ']","['Referee:', 'Michael Oliver', 'Assistants:', 'Gary Beswick, Lee Betts', 'Fourth official:', 'Keith Stroud']"
"['3:00pm, Sunday 15th May 2016.']",['Stoke'],['West Ham'],"[<Element span at 0x365fd50>, <Element span at 0x365fc90>]",['2'],['1'],"['\n                G Imbula\xa0(', ""55'"", '55th minute', ')', '\n                M Diouf\xa0(', ""88'"", '88th minute', ')']","['\n                M Antonio\xa0(', ""23'"", '23rd minute', ')']",46.7,53.3,7,20,4,8,2,6,1,6,78.6,82,1,2,4,10,6,2,78.6,60,52.6,47.4,5,2,8,12,11,8,3,1,0,0,"['Stoke City\n                          vs West Ham United. Premier League.\n                        ', '\n                          ', '3:00pm, Sunday 15th May 2016.', '\n                        ', '\n                          ', 'Bet365 Stadium', 'Attendance: ', 'Attendance', '27,721.', '\n                       ']","['Referee:', 'Michael Jones', 'Assistants:', 'Marc Perry, Mark Scholes', 'Fourth official:', 'Geoff Eltringham']"
"['3:00pm, Sunday 15th May 2016.']",['Swansea '],['Man City'],"[<Element span at 0x36607e0>, <Element span at 0x3660750>]",['1'],['1'],"['\n                A Ayew\xa0(', ""45+1'"", '46th minute', ')']","['\n                K Iheanacho\xa0(', ""5'"", '5th minute', ')']",50,50,4,18,1,5,2,10,1,3,78.3,80.6,0,1,4,4,2,2,69.2,76.5,69.2,30.8,4,0,4,19,19,4,1,3,0,0,"['Swansea City\n                          vs Manchester City. Premier League.\n                        ', '\n                          ', '3:00pm, Sunday 15th May 2016.', '\n                        ', '\n                          ', 'Swansea.com Stadium', 'Attendance: ', 'Attendance', '20,934.', '\n                       ']","['Referee:', 'Mike Dean', 'Assistants:', 'Jake Collin, Simon Long', 'Fourth official:', 'Andre Marriner']"
"['3:00pm, Sunday 15th May 2016.']",['Watford'],"[""S'land""]","[<Element span at 0x3667450>, <Element span at 0x36673c0>]",['2'],['2'],"['\n                S Prödl\xa0(', ""48'"", '48th minute', ')', '\n                T Deeney\xa0(', ""61'"", '61st minute', '                pen)']","['\n                J Rodwell\xa0(', ""39'"", '39th minute', ')', '\n                J Lens\xa0(', ""51'"", '51st minute', ')']",54.2,45.8,20,6,6,4,10,1,4,1,77.1,70.2,1,1,7,4,1,4,84.6,55,53.8,46.2,2,4,11,9,7,11,1,0,0,0,"['Watford\n                          vs Sunderland. Premier League.\n                        ', '\n                          ', '3:00pm, Sunday 15th May 2016.', '\n                        ', '\n                          ', 'Vicarage Road', 'Attendance: ', 'Attendance', '21,012.', '\n                       ']","['Referee:', 'Kevin Friend', 'Assistants:', 'Michael Salisbury, Andrew Fox', 'Fourth official:', 'Darren Deadman']"
"['3:00pm, Sunday 15th May 2016.']",['W Brom'],['Liverpool'],"[<Element span at 0x366a1e0>, <Element span at 0x366a240>]",['1'],['1'],"['\n                S Rondón\xa0(', ""13'"", '13th minute', ')']","['\n                J Ibe\xa0(', ""23'"", '23rd minute', ')']",32.6,67.4,13,7,1,3,7,3,5,1,67.4,84.3,1,0,7,5,1,0,59.1,56.5,42.4,57.6,2,0,11,14,13,11,3,1,0,0,"['West Bromwich Albion\n                          vs Liverpool. Premier League.\n                        ', '\n                          ', '3:00pm, Sunday 15th May 2016.', '\n                        ', '\n                          ', 'The Hawthorns', 'Attendance: ', 'Attendance', '26,196.', '\n                       ']","['Referee:', 'Robert Madley', 'Assistants:', 'Simon Bennett, Peter Kirkup', 'Fourth official:', 'Andy Davies']"
