,Date,Time,local,visit,g_loc,g_vis,m_loc,m_vis,PossH,PossA,TSH,TSA,On_TargetH,On_TargetA,Off_TargetH,Off_TargetA,BlockedH,BlockedA,PassingpcH,PassingpcA,ClearCutChancesH,ClearCutChancesA,CornersH,CornersA,OffsidesH,OffsidesA,TacklespcH,TacklespcA,AerialDuelspcH,AerialDuelspcA,SavesH,SavesA,FoulsCommittedH,FoulsCommittedA,FoulsWonH,FoulsWonA,YellowCardsH,YellowCardsA,RedCardsH,RedCardsA,Stadium,Attendance,Referee,Assistants,Fourth_official
0,19/05/2013,16:00,Liverpool,QPR,1,0,[23],[],66.4,33.6,15.0,7.0,8.0,0.0,7.0,7.0,0.0,0.0,88.3,77.2,0.0,0.0,14.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,3.0,6.0,1.0,3.0,0.0,0.0,Anfield,44792,,,
1,19/05/2013,16:00,Man City,Norwich,2,3,"[29, 59]","[26, 54, 65]",60.3,39.7,9.0,14.0,3.0,7.0,6.0,7.0,0.0,0.0,87.3,81.1,0.0,0.0,7.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,9.0,8.0,10.0,1.0,0.0,0.0,0.0,Etihad Stadium,47054,,,
2,19/05/2013,16:00,Newcastle,Arsenal,0,1,[],[52],50.7,49.3,5.0,8.0,1.0,2.0,4.0,6.0,0.0,0.0,84.8,79.7,0.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,10.0,10.0,17.0,1.0,2.0,0.0,0.0,"""St James Park",52354,,,
3,19/05/2013,16:00,"""Soton""",Stoke,1,1,[57],[47],63.0,37.0,11.0,8.0,7.0,3.0,4.0,5.0,0.0,0.0,83.5,72.3,0.0,0.0,3.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,7.0,9.0,0.0,2.0,0.0,0.0,"""St. Marys Stadium""",31539,,,
4,19/05/2013,16:00,Swansea ,Fulham,0,3,[],"[22, 77, 90]",64.4,35.6,20.0,8.0,10.0,5.0,10.0,3.0,0.0,0.0,92.0,81.2,0.0,0.0,8.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,10.0,10.0,12.0,3.0,1.0,0.0,0.0,Swansea.com Stadium,20365,,,
5,19/05/2013,16:00,Tottenham,"""Sland""",1,0,[90],[],68.2,31.8,21.0,6.0,14.0,3.0,7.0,3.0,0.0,0.0,81.8,69.4,0.0,0.0,14.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,14.0,13.0,5.0,1.0,2.0,0.0,1.0,White Hart Lane,36763,,,
6,19/05/2013,16:00,W Brom,Man Utd,5,5,"[40, 50, 81, 86, 81]","[6, 9, 30, 53, 63]",35.4,64.6,19.0,15.0,6.0,6.0,7.0,4.0,6.0,5.0,79.1,87.5,7.0,5.0,3.0,5.0,4.0,2.0,84.2,80.0,63.2,36.8,2.0,1.0,12.0,8.0,7.0,12.0,0.0,1.0,0.0,0.0,The Hawthorns,26438,,,
7,19/05/2013,16:00,West Ham,Reading,4,2,"[23, 79, 87, 34]","[53, 55]",48.4,51.6,19.0,15.0,10.0,6.0,9.0,9.0,0.0,0.0,77.6,77.5,0.0,0.0,6.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,10.0,9.0,13.0,2.0,1.0,0.0,0.0,Boleyn Ground,34973,,,
8,19/05/2013,16:00,Wigan ,A Villa,2,2,"[21, 45]","[5, 61]",54.0,46.0,11.0,5.0,4.0,3.0,7.0,2.0,0.0,0.0,81.3,80.1,0.0,0.0,4.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,13.0,12.0,10.0,2.0,1.0,0.0,0.0,DW Stadium.,,,,
9,14/05/2013,19:45,Arsenal,Wigan ,4,1,"[11, 68, 63, 71]",[45],47.5,52.5,17.0,7.0,10.0,2.0,7.0,5.0,0.0,0.0,80.3,84.2,0.0,0.0,7.0,4.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,11.0,11.0,10.0,0.0,2.0,0.0,0.0,Emirates Stadium,60068,,,
10,14/05/2013,20:00,Reading,Man City,0,2,[],"[40, 88]",38.7,61.3,10.0,19.0,7.0,11.0,3.0,8.0,0.0,0.0,83.0,87.9,0.0,0.0,4.0,10.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,7.0,7.0,0.0,1.0,0.0,0.0,Select Car Leasing Stadium,22859,,,
11,12/05/2013,13:30,Stoke,Tottenham,1,2,[3],"[20, 83]",32.7,67.3,4.0,15.0,1.0,7.0,3.0,8.0,0.0,0.0,69.3,88.4,0.0,0.0,2.0,11.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,5.0,11.0,3.0,1.0,1.0,0.0,Bet365 Stadium,27531,,,
12,12/05/2013,15:00,Everton,West Ham,2,0,"[6, 60]",[],64.7,35.3,18.0,7.0,7.0,2.0,11.0,5.0,0.0,0.0,88.4,73.9,0.0,0.0,7.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,12.0,11.0,6.0,1.0,2.0,0.0,0.0,Goodison Park,39475,,,
13,12/05/2013,15:00,Fulham,Liverpool,1,3,[33],"[36, 62, 85]",48.4,51.6,7.0,14.0,5.0,7.0,2.0,7.0,0.0,0.0,87.9,87.7,0.0,0.0,7.0,8.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,11.0,1.0,0.0,1.0,0.0,0.0,Craven Cottage,25640,,,
14,12/05/2013,15:00,Norwich,W Brom,4,0,"[25, 62, 65, 90]",[],48.1,51.9,11.0,6.0,7.0,4.0,4.0,2.0,0.0,0.0,80.7,81.6,0.0,0.0,8.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,7.0,11.0,2.0,1.0,0.0,0.0,Carrow Road,26837,,,
15,12/05/2013,15:00,QPR,Newcastle,1,2,[11],"[18, 35]",56.2,43.8,10.0,11.0,2.0,4.0,5.0,3.0,3.0,4.0,72.8,66.4,0.0,0.0,2.0,2.0,7.0,4.0,90.9,79.2,38.7,61.3,1.0,1.0,9.0,10.0,7.0,8.0,1.0,2.0,0.0,1.0,Loftus Road Stadium,17278,,,
16,12/05/2013,15:00,"""Sland""","""Soton""",1,1,[68],[76],36.0,64.0,3.0,11.0,2.0,8.0,1.0,3.0,0.0,0.0,63.1,74.7,0.0,0.0,3.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,10.0,9.0,0.0,2.0,0.0,0.0,Stadium of Light,41988,,,
17,12/05/2013,16:00,Man Utd,Swansea ,2,1,"[39, 87]",[49],52.1,47.9,13.0,7.0,6.0,2.0,7.0,5.0,0.0,0.0,87.8,85.8,0.0,0.0,7.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,7.0,3.0,0.0,0.0,0.0,0.0,Old Trafford,75572,,,
18,11/05/2013,24:45,A Villa,Chelsea,1,2,[14],"[45, 61]",43.2,56.8,15.0,15.0,2.0,7.0,6.0,3.0,7.0,5.0,79.8,82.8,0.0,2.0,6.0,7.0,4.0,2.0,68.4,75.0,50.0,50.0,3.0,1.0,13.0,8.0,8.0,13.0,1.0,2.0,1.0,1.0,Villa Park,42084,,,
19,8/05/2013,19:45,Chelsea,Tottenham,2,2,"[10, 39]","[26, 80]",44.1,55.9,11.0,12.0,5.0,5.0,6.0,7.0,0.0,0.0,73.1,83.8,0.0,0.0,6.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,16.0,6.0,1.0,2.0,0.0,0.0,Stamford Bridge,41581,,,
20,7/05/2013,19:45,Man City,W Brom,1,0,[35],[],53.6,46.4,15.0,15.0,7.0,7.0,8.0,8.0,0.0,0.0,82.0,78.8,0.0,0.0,6.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,9.0,10.0,2.0,1.0,0.0,0.0,Etihad Stadium,46158,,,
21,7/05/2013,19:45,Wigan ,Swansea ,2,3,"[45, 53]","[50, 59, 76]",53.2,46.8,13.0,9.0,8.0,4.0,5.0,5.0,0.0,0.0,84.2,82.9,0.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,13.0,13.0,14.0,2.0,2.0,0.0,0.0,DW Stadium,18550,,,
22,6/05/2013,20:00,"""Sland""",Stoke,1,1,[34],[9],47.6,52.4,10.0,8.0,3.0,3.0,7.0,5.0,0.0,0.0,71.6,71.4,0.0,0.0,5.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,11.0,8.0,2.0,2.0,1.0,0.0,Stadium of Light,38130,,,
23,5/05/2013,13:30,Liverpool,Everton,0,0,[],[],54.8,45.2,11.0,9.0,3.0,2.0,8.0,7.0,0.0,0.0,78.7,75.1,0.0,0.0,3.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,11.0,10.0,10.0,1.0,2.0,0.0,0.0,Anfield,44991,,,
24,5/05/2013,16:00,Man Utd,Chelsea,0,1,[],[87],48.7,51.3,8.0,12.0,2.0,3.0,6.0,9.0,0.0,0.0,84.2,84.5,0.0,0.0,2.0,7.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,10.0,9.0,14.0,2.0,1.0,1.0,0.0,Old Trafford,75500,,,
25,4/05/2013,15:00,Fulham,Reading,2,4,"[70, 77]","[12, 62, 75, 83]",49.0,51.0,17.0,16.0,10.0,10.0,7.0,6.0,0.0,0.0,80.7,81.7,0.0,0.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,10.0,6.0,15.0,2.0,1.0,0.0,0.0,Craven Cottage,24087,,,
26,4/05/2013,15:00,Norwich,A Villa,1,2,[74],"[55, 89]",53.7,46.3,7.0,10.0,2.0,4.0,5.0,6.0,0.0,0.0,71.8,72.8,0.0,0.0,6.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,13.0,13.0,15.0,2.0,3.0,0.0,0.0,Carrow Road,26842,,,
27,4/05/2013,15:00,Swansea ,Man City,0,0,[],[],38.1,61.9,7.0,7.0,1.0,3.0,6.0,4.0,0.0,0.0,80.2,87.5,0.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,10.0,9.0,0.0,0.0,0.0,0.0,Swansea.com Stadium,20242,,,
