,Date,Time,local,visit,g_loc,g_vis,m_loc,m_vis,PossH,PossA,TSH,TSA,On_TargetH,On_TargetA,Off_TargetH,Off_TargetA,BlockedH,BlockedA,PassingpcH,PassingpcA,ClearCutChancesH,ClearCutChancesA,CornersH,CornersA,OffsidesH,OffsidesA,TacklespcH,TacklespcA,AerialDuelspcH,AerialDuelspcA,SavesH,SavesA,FoulsCommittedH,FoulsCommittedA,FoulsWonH,FoulsWonA,YellowCardsH,YellowCardsA,RedCardsH,RedCardsA,Stadium,Attendance,Referee,Assistants,Fourth_official,VAR,Assistant_VAR
12,21/05/2023,13:30,West Ham,Leeds,3,1,"[31, 72, 90]",[17],58.8,41.2,19.0,12.0,9.0,3.0,4.0,6.0,6.0,3.0,80.9,72.9,4.0,0.0,9.0,5.0,1.0,1.0,72.7,60.9,73.9,26.1,2.0,6.0,6.0,11.0,10.0,6.0,1.0,3.0,0.0,0.0,London Stadium,62478,Peter Bankes,"Edward Smart, Nick Greenhalgh",Andy Madley,Michael Salisbury,Nicholas Hopton
13,21/05/2023,14:00,Brighton,"""Soton""",3,1,"[29, 40, 69]",[58],63.0,37.0,26.0,5.0,8.0,1.0,11.0,3.0,7.0,1.0,91.7,79.6,1.0,1.0,4.0,3.0,1.0,1.0,69.2,62.5,73.3,26.7,0.0,5.0,8.0,9.0,9.0,8.0,2.0,5.0,0.0,0.0,Amex Stadium,31507,Paul Tierney,"Neil Davies, Constantine Hatzidakis",John Busby,Simon Hooper,Adrian Holmes
14,21/05/2023,16:00,Man City,Chelsea,1,0,[12],[],64.6,35.4,15.0,13.0,2.0,6.0,7.0,4.0,6.0,3.0,91.5,86.8,2.0,2.0,5.0,2.0,2.0,2.0,75.0,70.6,44.4,55.6,6.0,1.0,12.0,9.0,9.0,11.0,0.0,2.0,0.0,0.0,Etihad Stadium,53490,Michael Oliver,"Lee Betts, Stuart Burt",Robert Jones,John Brooks,Simon Bennett
15,20/05/2023,24:30,Tottenham,Brentford,1,3,[8],"[50, 62, 88]",61.8,38.2,22.0,11.0,8.0,4.0,6.0,6.0,8.0,1.0,86.2,77.7,2.0,2.0,8.0,2.0,1.0,1.0,50.0,54.5,59.1,40.9,1.0,6.0,11.0,9.0,8.0,10.0,1.0,1.0,0.0,0.0,Tottenham Hotspur Stadium,61514,Jarred Gillet,"Simon Long, Mark Scholes",Thomas Bramall,Andy Madley,Sian Massey
16,20/05/2023,15:00,"""Bmouth""",Man Utd,0,1,[],[9],41.5,58.5,10.0,20.0,4.0,5.0,3.0,8.0,3.0,7.0,85.4,85.6,1.0,0.0,3.0,6.0,0.0,2.0,58.3,73.1,35.0,65.0,4.0,4.0,6.0,7.0,7.0,6.0,1.0,0.0,0.0,0.0,Vitality Stadium,10240,Chris Kavanagh,"Marc Perry, Steven Meredith",Dean Whitestone,Craig Pawson,Natalie Aspinall
17,20/05/2023,15:00,Fulham,C Palace,2,2,"[45, 61]","[34, 83]",49.5,50.5,11.0,11.0,4.0,5.0,3.0,3.0,4.0,3.0,75.3,78.4,2.0,1.0,7.0,4.0,2.0,2.0,43.8,33.3,52.0,48.0,3.0,2.0,13.0,12.0,12.0,13.0,3.0,0.0,0.0,0.0,Craven Cottage,24356,Josh Smith,"Derek Eaton, Harry Lennard",Keith Stroud,Peter Bankes,Edward Smart
18,20/05/2023,15:00,Liverpool,A Villa,1,1,[89],[27],66.3,33.7,10.0,6.0,5.0,3.0,1.0,2.0,4.0,1.0,84.3,66.7,1.0,2.0,9.0,4.0,4.0,1.0,61.1,51.7,65.0,35.0,2.0,4.0,16.0,13.0,12.0,16.0,3.0,5.0,0.0,0.0,Anfield,53306,John Brooks,"James Mainwaring, Matt Wilkes",Michael Oliver,Tony Harrington,Nick Greenhalgh
19,20/05/2023,15:00,Wolves,Everton,1,1,[34],[90],53.2,46.8,13.0,19.0,5.0,4.0,6.0,9.0,2.0,6.0,78.7,75.9,0.0,3.0,1.0,7.0,1.0,0.0,41.7,52.6,37.5,62.5,3.0,4.0,18.0,10.0,9.0,18.0,5.0,1.0,0.0,0.0,Molineux,31684,David Coote,"Simon Bennett, Timothy Wood",James Linington,Paul Tierney,Wade Smith
20,20/05/2023,17:30,N Forest,Arsenal,1,0,[19],[],18.3,81.7,6.0,11.0,2.0,3.0,3.0,7.0,1.0,1.0,49.7,89.0,0.0,0.0,3.0,6.0,1.0,1.0,66.7,37.5,25.0,75.0,3.0,1.0,11.0,12.0,10.0,9.0,3.0,2.0,0.0,0.0,The City Ground,29514,Anthony Taylor,"Adam Nunn, Gary Beswick",Graham Scott,Neil Swarbrick,Darren Cann
21,18/05/2023,19:30,Newcastle,Brighton,4,1,"[22, 45, 89, 90]",[51],33.7,66.3,22.0,8.0,9.0,2.0,6.0,3.0,7.0,3.0,70.9,84.1,5.0,1.0,6.0,1.0,1.0,2.0,90.9,71.4,68.2,31.8,1.0,5.0,17.0,16.0,16.0,17.0,2.0,4.0,0.0,0.0,"""St James Park",52122,Robert Jones,"Ian Hussin, Wade Smith",Thomas Bramall,Jarred Gillet,Adam Nunn
