,Date,Time,local,visit,g_loc,g_vis,m_loc,m_vis,PossH,PossA,TSH,TSA,On_TargetH,On_TargetA,Off_TargetH,Off_TargetA,BlockedH,BlockedA,PassingpcH,PassingpcA,ClearCutChancesH,ClearCutChancesA,CornersH,CornersA,OffsidesH,OffsidesA,TacklespcH,TacklespcA,AerialDuelspcH,AerialDuelspcA,SavesH,SavesA,FoulsCommittedH,FoulsCommittedA,FoulsWonH,FoulsWonA,YellowCardsH,YellowCardsA,RedCardsH,RedCardsA,Stadium,Attendance,Referee,Assistants,Fourth_official
0,24/05/2015,15:00,A Villa,Burnley,0,1,[],[6],63.3,36.7,17.0,6.0,5.0,3.0,10.0,1.0,2.0,2.0,85.7,66.8,0.0,1.0,7.0,2.0,1.0,1.0,88.9,62.5,47.8,52.2,2.0,5.0,11.0,6.0,6.0,10.0,1.0,2.0,0.0,0.0,Villa Park,40792,Michael Jones,"Richard West, Mark Scholes",David Coote
1,24/05/2015,15:00,Chelsea,"""Sland""",3,1,"[37, 70, 88]",[26],64.6,35.4,24.0,17.0,8.0,9.0,7.0,7.0,9.0,1.0,92.7,84.8,1.0,2.0,11.0,3.0,1.0,1.0,66.7,75.0,50.0,50.0,7.0,5.0,12.0,8.0,8.0,11.0,2.0,1.0,0.0,0.0,Stamford Bridge,41620,Lee Mason,"John Brooks, Andy Halliday",Robert Madley
2,24/05/2015,15:00,C Palace,Swansea ,1,0,[57],[],47.4,52.6,13.0,5.0,7.0,2.0,2.0,1.0,4.0,2.0,76.9,77.9,1.0,0.0,7.0,3.0,2.0,0.0,75.0,73.9,51.4,48.6,2.0,6.0,22.0,13.0,13.0,21.0,3.0,0.0,0.0,0.0,Selhurst Park,25076,Craig Pawson,"Ian Hussin, Marc Perry",Peter Bankes
3,24/05/2015,15:00,Everton,Tottenham,0,1,[],[24],40.4,59.6,9.0,16.0,1.0,3.0,6.0,4.0,2.0,9.0,74.3,83.5,1.0,2.0,3.0,5.0,2.0,4.0,73.3,66.7,42.9,57.1,2.0,1.0,12.0,8.0,7.0,11.0,1.0,2.0,0.0,0.0,Goodison Park,39365,Jonathan Moss,"Darren England, Simon Bennett",Andy Woolmer
4,24/05/2015,15:00,Hull City,Man Utd,0,0,[],[],40.9,59.1,16.0,7.0,6.0,1.0,5.0,3.0,5.0,3.0,71.7,80.8,0.0,0.0,8.0,1.0,6.0,0.0,76.5,82.4,51.5,48.5,1.0,6.0,12.0,15.0,15.0,12.0,2.0,2.0,0.0,1.0,MKM Stadium,24745,Lee Probert,"Harry Lennard, Darren Cann",Andre Marriner
5,24/05/2015,15:00,Leicester,QPR,5,1,"[16, 43, 51, 52, 86]",[57],45.7,54.3,22.0,18.0,7.0,2.0,13.0,9.0,2.0,7.0,71.1,73.2,0.0,1.0,5.0,6.0,3.0,1.0,87.5,83.3,57.7,42.3,1.0,2.0,7.0,6.0,5.0,6.0,0.0,0.0,0.0,0.0,The King Power Stadium,31467,Michael Oliver,"Lee Betts, Scott Ledger",Steve Martin
6,24/05/2015,15:00,Man City,"""Soton""",2,0,"[31, 88]",[],54.5,45.5,15.0,13.0,6.0,4.0,7.0,6.0,2.0,3.0,81.5,77.9,2.0,1.0,8.0,4.0,0.0,7.0,68.8,81.0,64.3,35.7,4.0,5.0,13.0,8.0,8.0,12.0,1.0,1.0,0.0,0.0,Etihad Stadium,45919,Chris Foy,"Mick McDonough, Ron Ganfield",Paul Tierney
7,24/05/2015,15:00,Newcastle,West Ham,2,0,"[54, 85]",[],40.8,59.2,17.0,4.0,4.0,1.0,9.0,2.0,4.0,1.0,74.6,81.1,2.0,1.0,2.0,3.0,1.0,3.0,80.0,76.5,44.2,55.8,1.0,2.0,9.0,9.0,9.0,9.0,2.0,1.0,0.0,0.0,"""St James Park",52094,Martin Atkinson,"Mike Mullarkey, Stephen Child",Kevin Friend
8,24/05/2015,15:00,Stoke,Liverpool,6,1,"[22, 26, 30, 41, 45, 86]",[70],45.5,54.5,15.0,13.0,9.0,4.0,3.0,5.0,3.0,4.0,80.7,81.9,1.0,2.0,3.0,9.0,1.0,1.0,83.3,85.0,45.2,54.8,3.0,3.0,13.0,4.0,4.0,13.0,4.0,2.0,0.0,0.0,Bet365 Stadium,27602,Anthony Taylor,"Gary Beswick, Dave Bryan",Neil Swarbrick
9,20/05/2015,19:45,Arsenal,"""Sland""",0,0,[],[],75.1,24.9,28.0,7.0,8.0,3.0,13.0,3.0,7.0,1.0,89.8,67.8,1.0,3.0,5.0,2.0,0.0,1.0,75.0,70.0,48.3,51.7,3.0,8.0,6.0,8.0,8.0,6.0,1.0,0.0,0.0,0.0,Emirates Stadium,59987,Anthony Taylor,"Scott Ledger, Marc Perry",Kevin Friend
