,Date,Time,local,visit,g_loc,g_vis,m_loc,m_vis,PossH,PossA,TSH,TSA,On_TargetH,On_TargetA,Off_TargetH,Off_TargetA,BlockedH,BlockedA,PassingpcH,PassingpcA,ClearCutChancesH,ClearCutChancesA,CornersH,CornersA,OffsidesH,OffsidesA,TacklespcH,TacklespcA,AerialDuelspcH,AerialDuelspcA,SavesH,SavesA,FoulsCommittedH,FoulsCommittedA,FoulsWonH,FoulsWonA,YellowCardsH,YellowCardsA,RedCardsH,RedCardsA,Stadium,Attendance,Referee,Assistants,Fourth_official
0,12/05/2019,15:00,Burnley,Arsenal,1,3,[65],"[52, 63, 90]",39.7,60.3,14.0,17.0,5.0,6.0,6.0,4.0,3.0,7.0,77.4,86.1,1.0,3.0,4.0,5.0,4.0,0.0,53.3,63.6,54.1,45.9,3.0,3.0,11.0,3.0,3.0,10.0,5.0,1.0,0.0,0.0,Turf Moor,21461,Mike Dean,"Ian Hussin, Dan Robathan, Nicholas Hopton",Lee Mason
1,12/05/2019,15:00,C Palace,"""Bmouth""",5,3,"[24, 32, 37, 65, 80]","[45, 56, 73]",45.0,55.0,17.0,16.0,8.0,8.0,7.0,6.0,2.0,2.0,80.2,82.6,3.0,3.0,4.0,4.0,4.0,1.0,62.5,55.6,46.4,53.6,5.0,4.0,11.0,8.0,8.0,11.0,3.0,0.0,0.0,0.0,Selhurst Park,25433,Roger East,"Harry Lennard, Adrian Holmes",Keith Stroud
2,12/05/2019,15:00,Fulham,Newcastle,0,4,[],"[9, 11, 61, 90]",68.1,31.9,16.0,13.0,2.0,6.0,8.0,6.0,6.0,1.0,90.2,78.8,0.0,3.0,5.0,5.0,1.0,1.0,75.0,53.3,58.6,41.4,2.0,2.0,6.0,8.0,8.0,5.0,1.0,0.0,0.0,0.0,Craven Cottage,24979,Kevin Friend,"Constantine Hatzidakis, Matt Wilkes",Graham Scott
3,12/05/2019,15:00,Leicester,Chelsea,0,0,[],[],46.9,53.1,9.0,14.0,3.0,4.0,4.0,7.0,2.0,3.0,87.0,86.5,0.0,2.0,4.0,5.0,1.0,2.0,75.0,83.3,35.7,64.3,4.0,3.0,9.0,8.0,7.0,9.0,0.0,1.0,0.0,0.0,The King Power Stadium,32140,Anthony Taylor,"Gary Beswick, Darren Cann",Craig Pawson
4,12/05/2019,15:00,Liverpool,Wolves,2,0,"[17, 81]",[],59.0,41.0,13.0,7.0,5.0,2.0,5.0,4.0,3.0,1.0,84.4,75.9,2.0,2.0,4.0,1.0,3.0,1.0,56.3,57.1,41.4,58.6,2.0,3.0,3.0,11.0,11.0,3.0,0.0,2.0,0.0,0.0,Anfield,53331,Martin Atkinson,"Lee Betts, Adam Nunn",Stuart Attwell
5,12/05/2019,15:00,Man Utd,Cardiff,0,2,[],"[23, 54]",73.6,26.4,26.0,13.0,10.0,4.0,10.0,6.0,6.0,3.0,84.8,57.4,3.0,1.0,11.0,2.0,3.0,0.0,66.7,56.3,57.6,42.4,2.0,10.0,9.0,6.0,5.0,8.0,3.0,3.0,0.0,0.0,Old Trafford,74457,Jonathan Moss,"Marc Perry, Mick McDonough",Simon Hooper
6,12/05/2019,15:00,"""Soton""","""Huddsfld""",1,1,[41],[55],53.7,46.3,10.0,10.0,3.0,3.0,3.0,4.0,4.0,3.0,72.7,65.5,1.0,1.0,4.0,3.0,1.0,2.0,66.7,48.1,62.5,37.5,2.0,2.0,8.0,6.0,6.0,8.0,0.0,1.0,0.0,0.0,"""St. Marys Stadium""",30367,Lee Probert,"Andy Garratt, Mark Scholes",Peter Bankes
7,12/05/2019,15:00,Tottenham,Everton,2,2,"[3, 75]","[69, 72]",55.0,45.0,11.0,16.0,3.0,9.0,5.0,3.0,3.0,4.0,82.7,81.4,0.0,2.0,7.0,4.0,2.0,1.0,54.5,56.3,48.6,51.4,7.0,1.0,10.0,13.0,13.0,10.0,0.0,2.0,0.0,0.0,Tottenham Hotspur Stadium,60124,Andre Marriner,"Scott Ledger, Simon Long",David Coote
8,12/05/2019,15:00,Watford,West Ham,1,4,[46],"[15, 78, 39, 71]",48.3,51.7,17.0,16.0,8.0,9.0,2.0,5.0,7.0,2.0,80.7,87.4,1.0,2.0,7.0,2.0,4.0,1.0,47.1,40.0,52.2,47.8,5.0,7.0,10.0,10.0,10.0,10.0,1.0,0.0,1.0,0.0,Vicarage Road,20067,Chris Kavanagh,"Daniel Cook, Sian Massey",Andy Madley
9,6/05/2019,20:00,Man City,Leicester,1,0,[70],[],61.0,39.0,19.0,7.0,5.0,2.0,10.0,2.0,4.0,3.0,86.8,80.8,1.0,1.0,11.0,0.0,2.0,0.0,42.9,31.8,35.5,64.5,2.0,4.0,12.0,5.0,5.0,11.0,3.0,2.0,0.0,0.0,Etihad Stadium,54506,Mike Dean,"Richard West, Dan Robathan",Lee Mason
10,5/05/2019,14:00,Chelsea,Watford,3,0,"[48, 51, 75]",[],58.4,41.6,19.0,16.0,9.0,3.0,6.0,10.0,4.0,3.0,84.5,74.9,4.0,1.0,6.0,6.0,1.0,3.0,59.1,64.3,51.4,48.6,3.0,6.0,6.0,12.0,12.0,6.0,0.0,1.0,0.0,0.0,Stamford Bridge,40650,Paul Tierney,"Edward Smart, Adrian Holmes",David Coote
11,5/05/2019,14:00,"""Huddsfld""",Man Utd,1,1,[60],[8],35.8,64.2,7.0,23.0,3.0,7.0,2.0,9.0,2.0,7.0,70.5,85.0,2.0,3.0,4.0,7.0,2.0,1.0,50.0,93.3,50.0,50.0,6.0,2.0,10.0,10.0,10.0,10.0,1.0,1.0,0.0,0.0,"""The John Smiths Stadium""",24263,Lee Mason,"Harry Lennard, Scott Ledger",Mike Dean
12,5/05/2019,16:30,Arsenal,Brighton,1,1,[9],[61],70.5,29.5,20.0,11.0,8.0,5.0,5.0,4.0,7.0,2.0,86.5,72.8,0.0,1.0,16.0,3.0,2.0,4.0,63.6,63.6,57.8,42.2,4.0,6.0,9.0,14.0,13.0,7.0,5.0,2.0,0.0,0.0,Emirates Stadium,59965,Anthony Taylor,"Gary Beswick, Adam Nunn",Graham Scott
13,4/05/2019,24:30,"""Bmouth""",Tottenham,1,0,[90],[],53.6,46.4,20.0,11.0,6.0,5.0,7.0,3.0,7.0,3.0,83.1,79.2,4.0,1.0,10.0,6.0,1.0,3.0,66.7,66.7,46.9,53.1,5.0,5.0,11.0,12.0,12.0,11.0,1.0,5.0,0.0,2.0,Vitality Stadium,10630,Craig Pawson,"Ian Hussin, Darren Cann",Simon Hooper
14,4/05/2019,15:00,West Ham,"""Soton""",3,0,"[16, 69, 72]",[],56.3,43.7,17.0,11.0,6.0,1.0,6.0,3.0,5.0,7.0,81.0,76.3,1.0,0.0,2.0,7.0,3.0,1.0,66.7,85.7,67.5,32.5,1.0,3.0,2.0,11.0,10.0,2.0,1.0,1.0,0.0,0.0,London Stadium,59961,Stuart Attwell,"Stephen Child, Constantine Hatzidakis",Martin Atkinson
15,4/05/2019,15:00,Wolves,Fulham,1,0,[75],[],39.2,60.8,19.0,6.0,6.0,2.0,9.0,3.0,4.0,1.0,75.8,86.2,3.0,1.0,7.0,1.0,1.0,0.0,68.4,46.2,41.5,58.5,2.0,5.0,10.0,15.0,13.0,9.0,1.0,3.0,0.0,0.0,Molineux,30456,Jonathan Moss,"Marc Perry, Andy Halliday",Chris Kavanagh
16,4/05/2019,17:30,Cardiff,C Palace,2,3,"[31, 90]","[28, 39, 70]",39.3,60.7,18.0,21.0,8.0,7.0,6.0,7.0,4.0,7.0,62.7,75.3,3.0,0.0,10.0,5.0,1.0,2.0,57.1,56.3,58.3,41.7,4.0,6.0,14.0,11.0,11.0,13.0,0.0,0.0,0.0,0.0,Cardiff City Stadium,32133,Michael Oliver,"Stuart Burt, Simon Bennett",Graham Scott
